"movieId","userId","rating","title","genres"
"1193","1",5,"One Flew Over the Cuckoo's Nest (1975)","Drama"
"661","1",3,"James and the Giant Peach (1996)","Adventure|Animation|Children|Fantasy|Musical"
"914","1",3,"My Fair Lady (1964)","Comedy|Drama|Musical|Romance"
"3408","1",4,"Erin Brockovich (2000)","Drama"
"2355","1",5,"Bug's Life, A (1998)","Adventure|Animation|Children|Comedy"
"1197","1",3,"Princess Bride, The (1987)","Action|Adventure|Comedy|Fantasy|Romance"
"1287","1",5,"Ben-Hur (1959)","Action|Adventure|Drama"
"2804","1",5,"Christmas Story, A (1983)","Children|Comedy"
"594","1",4,"Snow White and the Seven Dwarfs (1937)","Animation|Children|Drama|Fantasy|Musical"
"919","1",4,"Wizard of Oz, The (1939)","Adventure|Children|Fantasy|Musical"
"595","1",5,"Beauty and the Beast (1991)","Animation|Children|Fantasy|Musical|Romance|IMAX"
"2918","1",4,"Ferris Bueller's Day Off (1986)","Comedy"
"1035","1",5,"Sound of Music, The (1965)","Musical|Romance"
"2791","1",4,"Airplane! (1980)","Comedy"
"2018","1",4,"Bambi (1942)","Animation|Children|Drama"
"3105","1",5,"Awakenings (1990)","Drama|Mystery"
"2797","1",4,"Big (1988)","Comedy|Drama|Fantasy|Romance"
"2321","1",3,"Pleasantville (1998)","Comedy|Drama|Fantasy"
"1270","1",5,"Back to the Future (1985)","Adventure|Comedy|Sci-Fi"
"527","1",5,"Schindler's List (1993)","Drama|War"
"1097","1",4,"E.T. the Extra-Terrestrial (1982)","Children|Drama|Sci-Fi"
"1721","1",4,"Titanic (1997)","Drama|Romance"
"745","1",3,"Wallace & Gromit: A Close Shave (1995)","Animation|Children|Comedy"
"2294","1",4,"Antz (1998)","Adventure|Animation|Children|Comedy|Fantasy"
"588","1",4,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Musical"
"1022","1",5,"Cinderella (1950)","Animation|Children|Fantasy|Musical|Romance"
"2762","1",4,"Sixth Sense, The (1999)","Drama|Horror|Mystery"
"150","1",5,"Apollo 13 (1995)","Adventure|Drama|IMAX"
"1","1",5,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy"
"1961","1",5,"Rain Man (1988)","Drama"
"1962","1",4,"Driving Miss Daisy (1989)","Drama"
"2692","1",4,"Run Lola Run (Lola rennt) (1998)","Action|Crime"
"260","1",4,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi"
"1028","1",5,"Mary Poppins (1964)","Children|Comedy|Fantasy|Musical"
"1029","1",5,"Dumbo (1941)","Animation|Children|Drama|Musical"
"1207","1",4,"To Kill a Mockingbird (1962)","Drama"
"2028","1",5,"Saving Private Ryan (1998)","Action|Drama|War"
"3114","1",4,"Toy Story 2 (1999)","Adventure|Animation|Children|Comedy|Fantasy"
"608","1",4,"Fargo (1996)","Comedy|Crime|Drama|Thriller"
"1246","1",4,"Dead Poets Society (1989)","Drama"
"1357","2",5,"Shine (1996)","Drama|Romance"
"2194","2",4,"Untouchables, The (1987)","Action|Crime|Drama"
"648","2",4,"Mission: Impossible (1996)","Action|Adventure|Mystery|Thriller"
"2268","2",5,"Few Good Men, A (1992)","Crime|Drama|Thriller"
"2628","2",3,"Star Wars: Episode I - The Phantom Menace (1999)","Action|Adventure|Sci-Fi"
"2916","2",3,"Total Recall (1990)","Action|Adventure|Sci-Fi|Thriller"
"1210","2",4,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Sci-Fi"
"1213","2",2,"Goodfellas (1990)","Crime|Drama"
"3578","2",5,"Gladiator (2000)","Action|Adventure|Drama"
"2881","2",3,"Double Jeopardy (1999)","Action|Crime|Drama|Thriller"
"3105","2",4,"Awakenings (1990)","Drama|Mystery"
"434","2",2,"Cliffhanger (1993)","Action|Adventure|Thriller"
"3107","2",2,"Backdraft (1991)","Action|Drama"
"3108","2",3,"Fisher King, The (1991)","Comedy|Drama|Fantasy|Romance"
"1253","2",3,"Day the Earth Stood Still, The (1951)","Drama|Sci-Fi|Thriller"
"1610","2",5,"Hunt for Red October, The (1990)","Action|Adventure|Thriller"
"292","2",3,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller"
"902","2",2,"Breakfast at Tiffany's (1961)","Drama|Romance"
"368","2",4,"Maverick (1994)","Adventure|Comedy|Western"
"1259","2",5,"Stand by Me (1986)","Adventure|Drama"
"3147","2",5,"Green Mile, The (1999)","Crime|Drama"
"1544","2",4,"Lost World: Jurassic Park, The (1997)","Action|Adventure|Sci-Fi|Thriller"
"1293","2",5,"Gandhi (1982)","Drama"
"1188","2",4,"Strictly Ballroom (1992)","Comedy|Romance"
"3255","2",4,"League of Their Own, A (1992)","Comedy|Drama"
"3256","2",2,"Patriot Games (1992)","Action|Thriller"
"3257","2",3,"Bodyguard, The (1992)","Drama|Romance|Thriller"
"110","2",5,"Braveheart (1995)","Action|Drama|War"
"2278","2",3,"Ronin (1998)","Action|Crime|Thriller"
"2490","2",3,"Payback (1999)","Action|Thriller"
"3471","2",5,"Close Encounters of the Third Kind (1977)","Adventure|Drama|Sci-Fi"
"589","2",4,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi"
"1690","2",3,"Alien: Resurrection (1997)","Action|Horror|Sci-Fi"
"3654","2",3,"Guns of Navarone, The (1961)","Action|Adventure|Drama|War"
"1945","2",5,"On the Waterfront (1954)","Crime|Drama"
"2858","2",4,"American Beauty (1999)","Comedy|Drama"
